country,country_m49,year,milk_species,milk_tonnes,ch4_ktco2e,kg_co2e_per_ton_milk
Bangladesh,50,2021,Raw milk of buffalo,299625.0,90.0,0.30037546933667086
Bangladesh,50,2023,Raw milk of buffalo,351700.0,90.96,0.25862951379016208
Bangladesh,50,2022,Raw milk of buffalo,326850.0,90.48,0.27682423129876088
Bangladesh,50,2020,Raw milk of buffalo,267000.0,89.58,0.33550561797752809
Brunei Darussalam,96,2020,Raw milk of buffalo,183.04,0.1311,0.71623688811188813
Brunei Darussalam,96,2023,Raw milk of buffalo,127.69,0.0579,0.45344192967342783
Brunei Darussalam,96,2022,Raw milk of buffalo,137.82,0.0689,0.49992744159048041
Brunei Darussalam,96,2021,Raw milk of buffalo,142.74,0.0747,0.52332912988650693
Bulgaria,100,2023,Raw milk of buffalo,16880.0,1.2564,0.074431279620853066
Bulgaria,100,2020,Raw milk of buffalo,15930.0,1.2108,0.076007532956685511
Bulgaria,100,2022,Raw milk of buffalo,15280.0,1.2191999999999998,0.079790575916230358
Bulgaria,100,2021,Raw milk of buffalo,16580.0,1.3014000000000001,0.078492159227985525
Myanmar,104,2023,Raw milk of buffalo,330000.0,118.275,0.3584090909090909
Myanmar,104,2022,Raw milk of buffalo,328000.0,118.161,0.36024695121951217
Myanmar,104,2021,Raw milk of buffalo,316000.0,116.67899999999999,0.36923734177215184
Myanmar,104,2020,Raw milk of buffalo,313000.0,113.03179999999999,0.36112396166134181
Sri Lanka,144,2021,Raw milk of buffalo,90570.0,19.9927,0.22074307165728166
Sri Lanka,144,2022,Raw milk of buffalo,89870.0,19.4923,0.21689440302659396
Sri Lanka,144,2023,Raw milk of buffalo,95850.0,19.620600000000003,0.20470109546165888
Sri Lanka,144,2020,Raw milk of buffalo,80240.0,19.38,0.24152542372881355
"China, mainland",156,2022,Raw milk of buffalo,3202196.39,1716.2628,0.535964254209905
"China, mainland",156,2023,Raw milk of buffalo,3274849.21,1765.4297,0.5390873248786926
"China, mainland",156,2020,Raw milk of buffalo,3039265.29,1606.4261000000001,0.52855738039241718
"China, mainland",156,2021,Raw milk of buffalo,3103707.73,1649.2981,0.53139607317342352
China,159,2020,Raw milk of buffalo,3039265.29,1606.5656,0.528603279643285
China,159,2023,Raw milk of buffalo,3274849.21,1765.5634,0.53912815118592894
China,159,2022,Raw milk of buffalo,3202196.39,1716.3909,0.5360042580024269
China,159,2021,Raw milk of buffalo,3103707.73,1649.4309,0.531438860707416
Germany,276,2020,Raw milk of buffalo,1000.0,0.6313,0.6313
Greece,300,2020,Raw milk of buffalo,90.0,0.426,4.7333333333333334
India,356,2020,Raw milk of buffalo,95391341.85,6579.9505,0.068978487694897658
India,356,2022,Raw milk of buffalo,103299834.0,6704.2496,0.064900874864910238
India,356,2023,Raw milk of buffalo,104388290.0,6722.9998,0.064403773641660375
India,356,2021,Raw milk of buffalo,99626360.0,6686.1934999999994,0.067112694873123935
Indonesia,360,2021,Raw milk of buffalo,90716.53,65.1618,0.71830128423122008
Indonesia,360,2022,Raw milk of buffalo,87795.06,66.701900000000009,0.75974547998486486
Indonesia,360,2023,Raw milk of buffalo,84000.0,57.946,0.6898333333333333
Indonesia,360,2020,Raw milk of buffalo,91233.29,65.7909,0.72112821975399544
Iran (Islamic Republic of),364,2020,Raw milk of buffalo,108003.25,10.269400000000001,0.095084175707675481
Iran (Islamic Republic of),364,2023,Raw milk of buffalo,102601.86,9.6000000000000014,0.093565555244320156
Iran (Islamic Republic of),364,2022,Raw milk of buffalo,117678.19,11.399999999999999,0.096874365589749448
Iran (Islamic Republic of),364,2021,Raw milk of buffalo,122512.22,12.0,0.097949412719808684
Iraq,368,2021,Raw milk of buffalo,39393.09,14.5297,0.36883879888579446
Iraq,368,2020,Raw milk of buffalo,37737.0,14.007200000000001,0.37117947902588971
Iraq,368,2023,Raw milk of buffalo,43002.0,15.633799999999999,0.36355983442630574
Iraq,368,2022,Raw milk of buffalo,40369.0,15.0717,0.37334836136639504
Italy,380,2021,Raw milk of buffalo,257460.0,24.564700000000002,0.095411714441078224
Italy,380,2023,Raw milk of buffalo,254280.0,24.96,0.09815950920245399
Italy,380,2020,Raw milk of buffalo,253830.0,24.4217,0.096212819603671756
Italy,380,2022,Raw milk of buffalo,254450.0,24.96,0.098093928080172921
Malaysia,458,2023,Raw milk of buffalo,6188.68,4.1362,0.66834930873788911
Malaysia,458,2022,Raw milk of buffalo,6068.08,4.0113,0.66104929401062618
Malaysia,458,2021,Raw milk of buffalo,5859.93,3.7945,0.64753333230943033
Malaysia,458,2020,Raw milk of buffalo,5728.8,3.6622,0.63926127635805052
Nepal,524,2021,Raw milk of buffalo,1419412.0,304.4359,0.21448029183915596
Nepal,524,2023,Raw milk of buffalo,1399797.09,181.7826,0.12986353615008586
Nepal,524,2020,Raw milk of buffalo,1380600.0,310.1979,0.22468339852238159
Nepal,524,2022,Raw milk of buffalo,1464802.0,302.8429,0.20674664562172906
Netherlands (Kingdom of the),528,2022,Raw milk of buffalo,4950.0,0.0,0.0
Netherlands (Kingdom of the),528,2023,Raw milk of buffalo,4490.0,0.0,0.0
Pakistan,586,2020,Raw milk of buffalo,35393200.0,2471.46,0.069828667653673585
Pakistan,586,2022,Raw milk of buffalo,37527850.0,2620.56,0.069829739779923447
Pakistan,586,2023,Raw milk of buffalo,38644100.0,2698.44,0.06982799444158358
Pakistan,586,2021,Raw milk of buffalo,36444850.0,2544.96,0.069830442435625334
Romania,642,2021,Raw milk of buffalo,15200.0,1.11,0.073026315789473689
Romania,642,2023,Raw milk of buffalo,19300.0,1.014,0.05253886010362694
Romania,642,2022,Raw milk of buffalo,14100.0,1.074,0.076170212765957451
Romania,642,2020,Raw milk of buffalo,16100.0,1.1760000000000002,0.073043478260869585
Viet Nam,704,2020,Raw milk of buffalo,27107.5,132.967,4.9051738448768791
Viet Nam,704,2022,Raw milk of buffalo,26477.18,127.173,4.8031172504020443
Viet Nam,704,2023,Raw milk of buffalo,25852.36,121.75250000000001,4.7095313541974511
Viet Nam,704,2021,Raw milk of buffalo,26666.49,128.9826,4.8368795443269805
Türkiye,792,2020,Raw milk of buffalo,63766.74,11.3569,0.17810068383611896
Türkiye,792,2022,Raw milk of buffalo,43588.65,10.138200000000001,0.23258807051835742
Türkiye,792,2021,Raw milk of buffalo,63642.85,10.9489,0.17203660741151597
Türkiye,792,2023,Raw milk of buffalo,43024.89,9.5432,0.22180649386901397
Egypt,818,2023,Raw milk of buffalo,1157000.0,80.9628,0.06997649092480554
Egypt,818,2021,Raw milk of buffalo,1337000.0,79.968,0.059811518324607328
Egypt,818,2022,Raw milk of buffalo,1471000.0,87.919999999999987,0.059768864717878983
Egypt,818,2020,Raw milk of buffalo,1265000.0,75.488,0.05967430830039526
Afghanistan,4,2023,Raw milk of camel,6833.49,7.9211,1.1591587900179849
Afghanistan,4,2022,Raw milk of camel,6850.27,7.9589,1.1618374166273737
Afghanistan,4,2021,Raw milk of camel,6854.96,7.9966,1.1665421825947928
Afghanistan,4,2020,Raw milk of camel,6873.29,8.0097,1.1653371238518964
Algeria,12,2021,Raw milk of camel,15003.09,21.4943,1.4326582057429502
Algeria,12,2022,Raw milk of camel,15243.26,20.7801,1.363232012049916
Algeria,12,2020,Raw milk of camel,14717.59,20.8554,1.4170390668580928
Algeria,12,2023,Raw milk of camel,15290.15,21.0433,1.3762651118530558
Chad,148,2023,Raw milk of camel,35332.39,518.641,14.678910767145952
Chad,148,2021,Raw milk of camel,32916.91,456.55580000000003,13.869947087986084
Chad,148,2020,Raw milk of camel,31771.82,428.35859999999997,13.48234378767096
Chad,148,2022,Raw milk of camel,34103.27,486.60929999999996,14.268699159933931
"China, mainland",156,2021,Raw milk of camel,18611.08,21.8292,1.1729141994983632
"China, mainland",156,2023,Raw milk of camel,21479.93,27.4082,1.2759911228760987
"China, mainland",156,2020,Raw milk of camel,17301.75,19.441499999999998,1.1236724608782347
"China, mainland",156,2022,Raw milk of camel,20567.77,25.5974,1.2445393934296232
China,159,2022,Raw milk of camel,20567.77,25.5974,1.2445393934296232
China,159,2023,Raw milk of camel,21479.93,27.4082,1.2759911228760987
China,159,2021,Raw milk of camel,18611.08,21.8292,1.1729141994983632
China,159,2020,Raw milk of camel,17301.75,19.441499999999998,1.1236724608782347
Ethiopia,231,2020,Raw milk of camel,243429.0,75.0127,0.30815022039280449
