country,country_m49,year,milk_total_tonnes,ch4_total_ktco2e,kg_co2e_per_ton_milk
Afghanistan,4,2022,2196239.7800000003,342.2097,0.1558161832402471
Afghanistan,4,2020,2190946.93,334.8768,0.15284569215923452
Afghanistan,4,2023,2219532.66,345.1342,0.15549859041046957
Afghanistan,4,2021,2161672.06,337.66549999999995,0.15620570124776462
Albania,8,2023,927585.0,47.4092,0.051110356463289076
Albania,8,2021,1043410.0,55.8468,0.053523351319232138
Albania,8,2020,1083760.0,58.5937,0.054065198937034029
Albania,8,2022,999273.04,52.3569,0.052394989061247961
Algeria,12,2020,3354368.59,248.0896,0.073960148786153521
Algeria,12,2022,3320838.9299999997,252.0579,0.075901874590466822
Algeria,12,2021,3263319.09,250.47790000000003,0.076755564838129273
Algeria,12,2023,3313144.3699999996,256.991,0.0775670998001213
Angola,24,2021,219526.96,20.746000000000002,0.09450319906037967
Angola,24,2022,219434.93,20.8628,0.095075109509684716
Angola,24,2023,220646.99,20.980900000000002,0.095088086177835471
Angola,24,2020,213047.39,20.758100000000002,0.0974341905807905
Antigua and Barbuda,28,2022,2904.27,0.181,0.062322029287910558
Antigua and Barbuda,28,2021,2933.46,0.1875,0.063917694463193633
Antigua and Barbuda,28,2023,2877.18,0.1744,0.0606149076526321
Antigua and Barbuda,28,2020,2936.13,0.1945,0.066243660873326449
Argentina,32,2021,11899905.14,111.4781,0.009367982239226488
Argentina,32,2023,11665405.0,112.8465,0.009673603273954055
Argentina,32,2020,11446583.21,112.9528,0.009867818014140833
Argentina,32,2022,11904142.0,114.1087,0.0095856299429223878
Armenia,51,2021,670700.0,16.4199,0.024481735500223645
Armenia,51,2022,623100.0,15.4543,0.02480227892794094
Armenia,51,2023,591600.0,14.234300000000001,0.024060682893847198
Armenia,51,2020,654300.0,15.461500000000001,0.023630597585205564
Australia,36,2020,9099000.0,165.8601,0.018228387734915922
Australia,36,2023,8467000.0,163.31900000000002,0.019288886264320307
Australia,36,2021,9067000.0,164.696,0.01816433219366935
Australia,36,2022,8450000.0,159.4012,0.018864047337278103
Austria,40,2021,3867490.0,76.462799999999987,0.019770652283522386
Austria,40,2022,3980300.0,79.7653,0.020040022108886266
Austria,40,2023,3716970.0,78.6449,0.021158335956437638
Austria,40,2020,3852260.0,76.120499999999993,0.019759959088950382
Azerbaijan,31,2021,2223426.0,101.7588,0.045766668195838307
Azerbaijan,31,2020,2192498.0,102.6173,0.046803828327323445
Azerbaijan,31,2023,2283990.0,97.8771,0.042853558903497832
Azerbaijan,31,2022,2264679.0,101.3631,0.04475826375393599
Bahamas,44,2022,2059.48,0.1287,0.0624915027094218
Bahamas,44,2020,2055.42,0.128,0.062274377012970582
Bahamas,44,2021,2057.67,0.1285,0.062449275151020327
Bahamas,44,2023,2062.4900000000002,0.1291,0.0625942428811776
Bahrain,48,2023,11010.539999999999,0.66389999999999993,0.060296770185658474
Bahrain,48,2022,11243.8,0.6832,0.060762375709279788
Bahrain,48,2021,10478.91,0.64179999999999993,0.061246828152928118
Bahrain,48,2020,10455.789999999999,0.6209,0.059383365580219193
