country,country_m49,year,milk_species,milk_tonnes,species_share
Bangladesh,50,2023,Raw milk of buffalo,351700.0,0.025
Bangladesh,50,2020,Raw milk of buffalo,267000.0,0.025
Bangladesh,50,2021,Raw milk of buffalo,299625.0,0.025
Bangladesh,50,2022,Raw milk of buffalo,326850.0,0.025
Brunei Darussalam,96,2021,Raw milk of buffalo,142.74,0.76630697374778545
Brunei Darussalam,96,2023,Raw milk of buffalo,127.69,0.75364457297999166
Brunei Darussalam,96,2022,Raw milk of buffalo,137.82,0.75712794594297639
Brunei Darussalam,96,2020,Raw milk of buffalo,183.04,0.77727292029385531
Bulgaria,100,2021,Raw milk of buffalo,16580.0,0.01739641369469189
Bulgaria,100,2022,Raw milk of buffalo,15280.0,0.017591526594519916
Bulgaria,100,2023,Raw milk of buffalo,16880.0,0.020691853195714531
Bulgaria,100,2020,Raw milk of buffalo,15930.0,0.015843652096076383
China,159,2020,Raw milk of buffalo,3039265.29,0.077264431135509529
China,159,2022,Raw milk of buffalo,3202196.39,0.071899625392649991
China,159,2023,Raw milk of buffalo,3274849.21,0.069288635300685811
China,159,2021,Raw milk of buffalo,3103707.73,0.074073492138271121
"China, mainland",156,2021,Raw milk of buffalo,3103707.73,0.074898566479299489
"China, mainland",156,2020,Raw milk of buffalo,3039265.29,0.078159391056025262
"China, mainland",156,2022,Raw milk of buffalo,3202196.39,0.072674052030546693
"China, mainland",156,2023,Raw milk of buffalo,3274849.21,0.070005079924333885
Egypt,818,2021,Raw milk of buffalo,1337000.0,0.21686942416869423
Egypt,818,2023,Raw milk of buffalo,1157000.0,0.20537246341088983
Egypt,818,2020,Raw milk of buffalo,1265000.0,0.22678379347436356
Egypt,818,2022,Raw milk of buffalo,1471000.0,0.21932309527359475
Germany,276,2020,Raw milk of buffalo,1000.0,3.0130564776345338e-05
Greece,300,2020,Raw milk of buffalo,90.0,4.521863208613647e-05
India,356,2023,Raw milk of buffalo,104388290.0,0.43621091779671162
India,356,2022,Raw milk of buffalo,103299834.0,0.44799020127195593
India,356,2021,Raw milk of buffalo,99626360.0,0.44861267663728221
India,356,2020,Raw milk of buffalo,95391341.85,0.45431603826163941
