n_draws,repeat,mean_reduction_pct,n_identical_vertex,n_countries
100,1,11.830430984212004,181,181
100,2,11.792052581282043,181,181
100,3,11.961167774540165,181,181
100,4,11.818833366922027,181,181
100,5,11.93426702633499,181,181
100,6,11.856396455638597,181,181
100,7,11.943276221072349,181,181
100,8,11.962083845331412,181,181
100,9,12.082477236825587,181,181
100,10,11.802052633972455,181,181
100,11,11.91649804070897,181,181
100,12,11.932811077120519,181,181
100,13,11.888475155309505,181,181
100,14,11.906438082537283,181,181
100,15,11.87861631565931,181,181
250,1,11.95064600831074,181,181
250,2,11.94179286271945,181,181
250,3,11.916518712664882,181,181
250,4,11.922293847614203,181,181
250,5,11.919660999258824,181,181
250,6,11.920287730368642,181,181
250,7,11.906445108185292,181,181
250,8,11.90302569679411,181,181
250,9,11.833379984448694,181,181
250,10,11.865016901497476,181,181
250,11,11.853241923560516,181,181
250,12,11.885777245690516,181,181
250,13,11.965078264549005,181,181
250,14,11.944003910878655,181,181
250,15,11.888605263846516,181,181
500,1,11.906497285537826,181,181
