country_m49,implied_kappa
4,923148.5805843961
8,71763.80705043479
12,115299.30885840121
31,78027.41017150028
40,113849.90516036651
44,283681.8287987822
48,44859.9306892202
51,411.93419129848553
56,99.14130434782655
68,57940.30028449758
70,187.04429928793803
72,59.38904882210059
76,1127275.9171902793
96,1614.2880791586717
100,2670.219184057058
104,612401.010800166
108,2739.7138883996904
112,53538.35460545383
120,3115.3806207345915
132,3819.6792089417795
144,77142.54658369998
148,400140.65059457923
152,492099.163074792
156,944242.5936214445
158,3293.1595129960615
188,17432.256318710686
191,7664.882382490164
192,1926.9051449349454
196,19.960282377426562
203,14868.3003496504
204,536.769545107785
218,52237.88687798377
231,7309.447212896838
232,658801.3181248043
233,32049.953539148908
250,125204.46332214966
262,1587021.7073061178
268,41191.01382748404
275,2046.9201396070312
276,10390.027262082489
300,17395.130116163295
320,255343.18893369992
324,64984.175076009335
332,5176.619102862882
348,1068423.305308539
356,5130764.852657719
360,4490.815323508163
364,12841.194225936837
368,277664.5070153627
376,19603.083330382968
380,143395.49876042048
388,2332.4455048648933
398,855045.8536810853
400,191.7716083975031
404,4476.209576767498
410,189616.5674735519
414,721371.8905210816
417,502428.2465285978
422,310.0295552792176
428,34764.88773708586
434,12018.638844890616
440,12663.891322956219
442,4053.9524635683297
454,177373.75642551392
458,2675.508737319493
466,17054.245437351507
470,2608.414607926639
478,220366.8160859552
484,643407.047112023
496,534.2872803845805
498,2854.943196754021
499,677.7868817219193
504,4892.562385342197
508,246.9680976272527
512,26850.26099249598
524,10497.834694639907
528,10272.39979250054
562,9109.072585733113
578,40561.71935371839
586,681594.2818261
598,678492.6505410048
604,180772.3296100453
616,4688330.462803226
620,63226.6991924917
624,182124.1161122931
630,1132961.8132134867
634,10391.087198534919
642,13532.912975479565
643,371953404.6337176
646,19638.724138972397
686,16195.273596609162
688,3888.313147026523
703,54897.49784780552
704,8485.61771711228
705,31691.946595120942
706,65046.964116271825
724,19438.82987186272
728,1403.1971245255536
729,5430292.160569539
756,443939.79475103115
762,122795.7444839079
788,3345824.6597099015
792,14835.056996710156
795,11924.62755212356
804,336015.52483307023
807,377.8596824287295
818,17713.537365341734
834,3934.825455928703
840,13659455.941671759
854,1132001.4612740313
862,897.3356074163568
887,488770.5342645496
