species,year,n,mean_raw,median,iqr,trimmed_mean_20pct,mean_excluding_collapse_cells,n_collapse_cells
buffalo,2020,20,756.2969488878252,288.51552085317076,542.9753040695847,314.8784791475478,756.2969488878252,0
buffalo,2021,18,524.7102890356575,217.61168174821876,402.0841348266595,253.77636551173723,524.7102890356575,0
buffalo,2022,19,498.5200497349521,216.89440302659392,358.6575071373438,240.25378315259746,498.5200497349521,0
buffalo,2023,19,480.0061199266533,204.70109546165878,336.2969967770375,225.80458835326564,480.0061199266533,0
camel,2020,27,3424.689250466727,1165.3371238518964,3443.986660142252,1727.378859459777,3424.689250466727,0
camel,2021,27,3689.5066550462525,1172.9141994983631,4056.875135312627,1787.801526105129,3689.5066550462525,0
camel,2022,27,3493.2179486016726,1218.0,4106.229165984545,1787.9699542280136,3493.2179486016726,0
camel,2023,27,3828.803906477837,1159.1587900179848,4127.995277401457,1808.2481630999202,3828.803906477837,0
cattle,2020,181,85.54672969718105,37.9191202024106,70.6521523420262,47.143830670594895,85.54672969718105,0
cattle,2021,181,85.48371590852516,37.543064438444496,68.27555940180869,46.518615391158974,85.48371590852516,0
cattle,2022,181,85.64960467227344,37.5381720209012,72.30183445645359,46.68135168759636,85.64960467227344,0
cattle,2023,180,84.83705116627098,37.1269024442483,74.22726316523571,46.938739327284026,84.83705116627098,0
goats,2020,105,551.5925509914961,183.7285981808453,467.90197816840316,226.41949774345215,551.5925509914961,0
goats,2021,104,568.2454473878727,182.50177729348334,458.8895001690654,234.81220329377356,568.2454473878727,0
goats,2022,108,551.0929091143739,180.5878167196347,466.58497918527587,229.60366110413,551.0929091143739,0
goats,2023,102,614.0226898504663,181.5154099480858,462.2166603145274,232.3282161442593,614.0226898504663,0
sheep,2020,74,1628.808369290334,543.382156358602,1057.3895018586832,609.885461401252,1628.808369290334,0
sheep,2021,73,1598.499422863028,539.4038407752095,1051.192634122307,604.9443077243079,1598.499422863028,0
sheep,2022,74,1732.0651985377824,561.9860041405664,1021.930381478451,619.4982625610759,1732.0651985377824,0
sheep,2023,70,5252.883057751461,555.4162580608556,1030.806928778306,613.8308318788409,1531.8298415844781,1
