country_m49,country,production_tonnes,observed_ch4_t,baseline_intensity_observed,baseline_intensity,optimized_mean,baseline_cvar,optimized_cvar,reduction_mean_pct,reduction_cvar_pct,abs_reduction_mt_ch4,abs_reduction_mt_ch4_posterior,tv_distance,active_species,no_harm_applied,no_harm_action,lp_certified,delta,lambda,alpha
4,Afghanistan,2219532.66,345134.19999999995,0.15549859041046937,0.2634711650869602,0.24808235726479128,0.2912824387517106,0.27348919015877143,5.840793931696386,6.1085895425731955,0.020158577409808864,0.03415596155976745,0.009999999999999943,4,False,not_needed,True,0.01,0.2,0.8
8,Albania,927585.0,47409.19999999992,0.051110356463288986,0.08948864748640392,0.08441154795858452,0.09802831798330734,0.0918225726749029,5.673456544966515,6.330563898343311,0.0026897403603162607,0.004709441365512359,0.010000000000000023,3,False,not_needed,True,0.01,0.2,0.8
12,Algeria,3313144.3699999996,256990.99999999974,0.07756709980012116,0.05818143990693422,0.05579658692063254,0.06627667080862626,0.06359027634883575,4.0989927202153105,4.053303261938823,0.010534042381608518,0.007901362244843094,0.009999999999999967,4,False,not_needed,True,0.01,0.2,0.8
24,Angola,220646.99,20980.899999999987,0.0950880861778354,0.09491334366711321,0.09491334366711321,0.09638151585198364,0.09638151585198364,0.0,0.0,0.0,0.0,0.0,1,False,not_applicable_fixed_baseline,True,0.01,0.2,0.8
28,Antigua and Barbuda,2877.18,174.4,0.0606149076526321,0.06261308007038653,0.06261308007038653,0.06408621545853957,0.06408621545853957,0.0,0.0,0.0,0.0,0.0,1,False,not_applicable_fixed_baseline,True,0.01,0.2,0.8
31,Azerbaijan,2283990.0,97877.09999999986,0.04285355890349771,0.032085412945493275,0.02888614384952151,0.03311746723874594,0.029340602543378478,9.971101513970492,11.404449102764413,0.0097594249999304,0.007307098622508547,0.010000000000000005,3,False,not_needed,True,0.01,0.2,0.8
32,Argentina,11665405.0,112846.49999999936,0.009673603273954,0.009580346941323543,0.009580346941323543,0.009746720548718191,0.009746720548718191,0.0,0.0,0.0,0.0,0.0,1,False,not_applicable_fixed_baseline,True,0.01,0.2,0.8
36,Australia,8467000.0,163318.99999999997,0.0192888862643203,0.018426230304652035,0.018426230304652035,0.01893399967972366,0.01893399967972366,0.0,0.0,0.0,0.0,0.0,1,False,not_applicable_fixed_baseline,True,0.01,0.2,0.8
40,Austria,3716970.0,78644.89999999969,0.021158335956437534,0.020066049392138713,0.019043214694576063,0.020545840627629944,0.019447727274438123,5.097339678448942,5.344699071183701,0.0040087976927764765,0.003801845885799444,0.009999999999999988,3,False,not_needed,True,0.01,0.2,0.8
44,Bahamas,2062.4900000000002,129.09999999999994,0.06259424288117757,0.20181475253593012,0.1998957804839656,0.23400154255343483,0.2316016428627543,0.950858164654178,1.0255913976005115,1.2275578905685434e-06,3.957860667456277e-06,0.010000000000000009,2,False,not_needed,True,0.01,0.2,0.8
48,Bahrain,11010.539999999999,663.899999999999,0.06029677018565825,0.0257543091186103,0.02336821687961047,0.02705505853843469,0.024329203798585903,9.264827210121595,10.07521286999401,6.150918784799718e-05,2.6272164041197223e-05,0.010000000000000061,3,False,not_needed,True,0.01,0.2,0.8
50,Bangladesh,14068000.0,798873.7999999995,0.05678659368780207,0.06270202634867726,0.059203774749890005,0.0678762396743261,0.0641190791914869,5.579168333945006,5.535310295423345,0.04457051407778313,0.049213403491739124,0.009999999999999955,4,False,not_needed,True,0.01,0.2,0.8
51,Armenia,591600.0,14234.299999999956,0.02406068289384711,0.03179890638925043,0.02956259277554859,0.034608998681022456,0.03186553742313082,7.032674603104672,7.927017141342452,0.0010010520010297252,0.0013230031338660104,0.009999999999999926,3,False,not_needed,True,0.01,0.2,0.8
52,Barbados,4119.33,214.79999999999993,0.0521444021236463,0.052365766867987246,0.052365766867987246,0.05340244803291587,0.05340244803291587,0.0,0.0,0.0,0.0,0.0,1,False,not_applicable_fixed_baseline,True,0.01,0.2,0.8
56,Belgium,4627000.0,73905.9,0.0159727469202507,0.016358953803650458,0.016358953803650458,0.01662956535130997,0.01662956535130997,0.0,0.0,0.0,0.0,0.0,1,False,not_applicable_fixed_baseline,True,0.01,0.2,0.8
64,Bhutan,43829.0,3518.299999999998,0.0802733350065025,0.08104675498957456,0.08104675498957456,0.08370259715788382,0.08370259715788382,0.0,0.0,0.0,0.0,0.0,1,False,not_applicable_fixed_baseline,True,0.01,0.2,0.8
68,Bolivia (Plurinational State of),637311.83,67012.29999999996,0.1051483698333356,0.04811247565651874,0.04482068195403055,0.05185788482683382,0.04783462630014958,6.8418713806970395,7.758238771440229,0.00458489537524684,0.0020978990685152216,0.009999999999999957,3,False,not_needed,True,0.01,0.2,0.8
70,Bosnia and Herzegovina,583375.0,27900.499999999956,0.04782601242768363,0.0388582842595727,0.0365761219642761,0.040138850128611674,0.03764740990906132,5.873039272788761,6.207054291708303,0.0016386073223044256,0.0013313564290186523,0.0054184701092779425,2,False,not_needed,True,0.01,0.2,0.8
72,Botswana,34152.0,6217.499999999998,0.1820537596626844,0.011681695715513413,0.011484602497489935,0.01275294480000406,0.012507087135032095,1.6871969859798441,1.9278501462022035,0.00010490147260329677,6.731127581937833e-06,0.01000000000000005,2,False,not_needed,True,0.01,0.2,0.8
76,Brazil,36338658.36,1209778.0999999996,0.03329176570073007,0.03181557155636893,0.03174035617433562,0.03226785688556766,0.03219099014317111,0.23641059504478923,0.23821458818644725,0.0028600436049315446,0.0027332260711253795,0.0009081237857786792,2,False,not_needed,True,0.01,0.2,0.8
84,Belize,6525.0,441.9999999999996,0.0677394636015325,0.0771888147392298,0.0771888147392298,0.08060972847906332,0.08060972847906332,0.0,0.0,0.0,0.0,0.0,1,False,not_applicable_fixed_baseline,True,0.01,0.2,0.8
90,Solomon Islands,3063.26,276.69999999999976,0.0903286041668026,0.08983362768814121,0.08983362768814121,0.09120584122500812,0.09120584122500812,0.0,0.0,0.0,0.0,0.0,1,False,not_applicable_fixed_baseline,True,0.01,0.2,0.8
96,Brunei Darussalam,169.43,65.39999999999999,0.3860001180428494,0.6250294886890521,0.6191519839541387,0.7533727191628007,0.7457935297628099,0.9403563897826483,1.0060344909241348,6.149930789178519e-07,9.958256272363656e-07,0.010000000000000023,2,False,not_needed,True,0.01,0.2,0.8
100,Bulgaria,815780.0,33289.299999999974,0.040806712594081695,0.056415739297919286,0.05293311841784611,0.06162458618308756,0.057353738585345745,6.173137006469432,6.930428035740577,0.002054994097494627,0.002841052461546093,0.009999999999999995,4,False,not_needed,True,0.01,0.2,0.8
104,Myanmar,2242389.94,251848.8,0.11231266940129053,0.0971941304023437,0.09448140481160999,0.106444531508983,0.1031988848381836,2.791038491217668,3.049143647671093,0.007029196947669802,0.006082988574641832,0.009999999999999943,4,False,not_needed,True,0.01,0.2,0.8
108,Burundi,97732.6,27706.09999999999,0.28348882563238853,0.2583222386706543,0.24753896084402044,0.2959081320231588,0.2851772861445086,4.1743513381292345,3.626411280177444,0.0011565499560934236,0.001053877778519276,0.010000000000000042,3,False,not_needed,True,0.01,0.2,0.8
112,Belarus,8347289.69,159042.9999999994,0.019053250325136297,0.02031790084233091,0.020214985774932293,0.020742231300671696,0.020639081030649948,0.5065241148544231,0.4972959202243943,0.0008055911479879169,0.0008590618810421267,0.0019514945095909393,2,False,not_needed,True,0.01,0.2,0.8
