country_m49,country,delta_struct,delta_within,delta_total,delta_obs,reconstruction_error,weight_interval,weight_interval_norm
4,Afghanistan,-0.0009031861992486724,0.0035560844504837247,0.002652898251235052,0.0026528982512350197,3.252606517456513e-17,2205239.795,0.002357528855499833
8,Albania,8.020047708511132e-05,-0.0030350429508300934,-0.002954842473744982,-0.0029548424737450008,1.8648277366750676e-17,1005672.5,0.001075122053986268
12,Algeria,-0.0021836937567022516,0.005790644770670022,0.0036069510139677703,0.0036069510139677963,2.6020852139652106e-17,3333756.48,0.0035639784465296906
24,Angola,0.0,-0.0023461044029551015,-0.0023461044029551015,-0.0023461044029551015,0.0,216847.19,0.0002318221849697098
28,Antigua and Barbuda,0.0,-0.005628753220694296,-0.005628753220694296,-0.005628753220694296,0.0,2906.6549999999997,3.1073822679147086e-06
31,Azerbaijan,-0.0011743571209989517,-0.0027759123028266823,-0.003950269423825634,-0.003950269423825606,2.7755575615628914e-17,2238244.0,0.0023928122590629055
32,Argentina,0.0,-0.00019421474018680059,-0.00019421474018680059,-0.00019421474018680059,0.0,11555994.105,0.01235402590606863
36,Australia,0.0,0.0010604985294043988,0.0010604985294043988,0.0010604985294043988,0.0,8783000.0,0.009389534863647351
40,Austria,3.596995896054369e-05,0.0013624069085266897,0.0013983768674872333,0.0013983768674873005,6.722053469410127e-17,3784615.0,0.00404597227461946
44,Bahamas,-3.1550262008306016e-05,0.0003514161302153651,0.00031986586820705905,0.000319865868207099,3.995285005609084e-17,2058.955,2.2011419509485404e-06
48,Bahrain,-0.0007177169294037104,0.0016311215348429149,0.0009134046054392045,0.0009134046054392955,9.107298248878237e-17,10733.165,1.1474374013979224e-05
50,Bangladesh,0.0,-0.01656826586275968,-0.01656826586275968,-0.016568265862759696,1.734723475976807e-17,12374000.0,0.013228521507773235
51,Armenia,-0.0010457097163457808,0.0014757950249873744,0.0004300853086415936,0.00043008530864160205,8.456776945386935e-18,622950.0,0.0006659695711384626
52,Barbados,0.0,-0.0019028578059664958,-0.0019028578059664958,-0.0019028578059664958,0.0,4048.665,4.3282569929100306e-06
56,Belgium,0.0,-0.0006832324380619988,-0.0006832324380619988,-0.0006832324380619988,0.0,4542000.0,0.004855660634257801
64,Bhutan,0.0,-0.0034709666926272115,-0.0034709666926272115,-0.0034709666926272115,0.0,50870.5,5.438350600946972e-05
68,Bolivia (Plurinational State of),-0.0026359797153004136,-0.0004109781626434998,-0.003046957877943913,-0.003046957877943804,1.0928757898653885e-16,628538.52,0.0006719440221661513
70,Bosnia and Herzegovina,-0.029229274457953924,0.01975438272201996,-0.009474891735933966,-0.009474891735933896,6.938893903907228e-17,614195.5,0.0006566105044227845
72,Botswana,-0.08520961987155386,0.08011573957282352,-0.005093880298730341,-0.005093880298730313,2.7755575615628914e-17,34606.01,3.699582573001581e-05
76,Brazil,0.00011256157741169991,-0.000528524348466236,-0.00041596277105453606,-0.000415962771054601,6.494371013188172e-17,36372912.685,0.038884746868747405
84,Belize,0.0,-0.031199059175999494,-0.031199059175999494,-0.031199059175999494,0.0,5523.5,5.904940888005937e-06
