country_m49,country,mean_intensity_kg_co2e_per_t,std_intensity_kg_co2e_per_t,q05_kg_co2e_per_t,q50_kg_co2e_per_t,q95_kg_co2e_per_t
4,Afghanistan,0.2621627957275553,0.030268529541407775,0.21987408614423623,0.2594028972166497,0.3220155550812784
8,Albania,0.08945427803966621,0.009886772403713315,0.07453359175205079,0.08853779046379211,0.10714059078095586
12,Algeria,0.058298656399566315,0.00714215561312084,0.04721251367086737,0.05755889769158666,0.07085883595240933
24,Angola,0.09491334366711321,0.0010487355800565018,0.09323731029176581,0.09487607755377117,0.09659247721991973
28,Antigua and Barbuda,0.06261308007038653,0.001046464158716778,0.060902720987358355,0.06256065934536235,0.06432820517635579
31,Azerbaijan,0.0320075879138566,0.0021180173839762144,0.02916739028688451,0.03172739079323354,0.0361045309578901
32,Argentina,0.009580346941323543,0.00012038570336980052,0.009368933273998981,0.009585353923591639,0.009771078706189464
36,Australia,0.018426230304652035,0.00034450229660938885,0.01791710620708696,0.0184025511274742,0.018992352856639205
40,Austria,0.0200645585230332,0.000774817985914161,0.019117253948328694,0.019897569753222356,0.021580928123173502
44,Bahamas,0.20202699360815624,0.022576474592343933,0.16720916914204137,0.19947816775177885,0.24163689205113825
48,Bahrain,0.02574232534020282,0.0019149294438287497,0.023062281879694183,0.025457910837109105,0.02933471679424466
50,Bangladesh,0.06258617432691958,0.004539625447397336,0.056188687192486424,0.06216283910326147,0.07092352118131429
51,Armenia,0.03194012211695819,0.003723554268174775,0.02646642612894716,0.031625250245167824,0.03808232154904117
52,Barbados,0.052365766867987246,0.0008315119159166189,0.05091090165475157,0.05242561710847369,0.05356974644289518
56,Belgium,0.016358953803650458,0.0001950438201654387,0.01602014642192318,0.016363916753827742,0.016666155365747108
64,Bhutan,0.08104675498957456,0.0018637907446603184,0.07801671639677,0.08099633444449163,0.08418912931415336
68,Bolivia (Plurinational State of),0.04800953214084994,0.005036026226108644,0.040642388796884164,0.04746246464200325,0.05679005790883639
70,Bosnia and Herzegovina,0.038922172280800554,0.0020833871966321844,0.036265759101381814,0.038587088954471396,0.04254144035608152
72,Botswana,0.011702223291733706,0.0008608240174697699,0.01036952834946725,0.011632301467310134,0.013184428217248984
76,Brazil,0.03181036922610762,0.0003668872356580181,0.031245844340987202,0.031804345220743054,0.03243498474947871
84,Belize,0.0771888147392298,0.0025990725210281265,0.0734024631635848,0.07717469722372039,0.081152829763897
90,Solomon Islands,0.08983362768814121,0.0009472653509881027,0.08840190943827393,0.08975058746743578,0.09146073954210922
96,Brunei Darussalam,0.6248040652915317,0.08975541338048397,0.48459327455775725,0.6228530848413663,0.7790298020161474
100,Bulgaria,0.05641375371140534,0.00593824960085332,0.047020881919132486,0.055668901104557,0.06737213936982957
104,Myanmar,0.09709687382919781,0.007833037493162527,0.08567879605865932,0.09608942414916305,0.11185667899752916
108,Burundi,0.25870670880144503,0.027158502418160754,0.21657824032479003,0.2569058397344696,0.3054162247359776
112,Belarus,0.020320734834681067,0.0003474806233556707,0.019735407450885818,0.020343326020760347,0.02090941710309694
116,Cambodia,0.4766763855124779,0.006015641661276788,0.4661362892801869,0.476823032091687,0.48645439707830873
120,Cameroon,0.1667489896740954,0.016566761759266774,0.14176548968639865,0.16485382059847625,0.1965115241853375
124,Canada,0.017409474949766936,0.0001913471184266686,0.017088178588998006,0.01741302086650464,0.01772042226555268
132,Cabo Verde,0.20111470685731947,0.021334682350459478,0.16862627236218844,0.19895122690226777,0.24002112878263596
